Month	Value
"Jan"	NA
"Feb"	NA
"Mar"	355.52
"Apr"	355.59
"May"	355.85
"Jun"	356.22
"Jul"	356.29
"Aug"	357.24
"Sep"	357.54
"Oct"	358.15
"Nov"	357.55
"Dec"	357.5
"Jan"	357.37
"Feb"	356.71
"Mar"	357
"Apr"	357.37
"May"	357.62
"Jun"	358.25
"Jul"	358.49
"Aug"	358.7
"Sep"	359.15
"Oct"	359.35
"Nov"	359.26
"Dec"	358.9
"Jan"	359.07
"Feb"	359.07
"Mar"	359.24
"Apr"	359.38
"May"	359.71
"Jun"	360.37
"Jul"	360.62
"Aug"	361.02
"Sep"	361.2
"Oct"	361.85
"Nov"	361.49
"Dec"	360.95
"Jan"	361.43
"Feb"	361.1
"Mar"	361.16
"Apr"	361.21
"May"	361.42
"Jun"	362.07
"Jul"	362.07
"Aug"	362.11
"Sep"	362
"Oct"	362.07
"Nov"	362.2
"Dec"	362.87
"Jan"	362.67
"Feb"	362.1
"Mar"	362.55
"Apr"	363.21
"May"	363.44
"Jun"	364.13
"Jul"	364.37
"Aug"	364.81
"Sep"	364.99
"Oct"	365.44
"Nov"	365.01
"Dec"	364.62
"Jan"	364.61
"Feb"	364.71
"Mar"	364.68
"Apr"	365.19
"May"	365.29
"Jun"	365.49
"Jul"	365.95
"Aug"	366.23
"Sep"	366.55
"Oct"	366.7
"Nov"	366.42
"Dec"	366
"Jan"	366.05
"Feb"	365.96
"Mar"	365.95
"Apr"	365.98
"May"	366.26
"Jun"	366.49
"Jul"	366.79
"Aug"	367.18
"Sep"	367.52
"Oct"	367.65
"Nov"	367.52
"Dec"	366.94
"Jan"	366.58
"Feb"	366.82
"Mar"	367.12
"Apr"	366.9
"May"	367.51
"Jun"	368.25
"Jul"	368.56
"Aug"	369.05
"Sep"	369.34
"Oct"	369.6
"Nov"	369.61
"Dec"	369.3
"Jan"	369.04
"Feb"	368.97
"Mar"	369.35
"Apr"	369.8
"May"	369.45
"Jun"	369.58
"Jul"	NA
"Aug"	371.73
"Sep"	371.86
"Oct"	371.97
"Nov"	372.04
"Dec"	371.38
"Jan"	371.29
"Feb"	371.64
"Mar"	370.59
"Apr"	370.71
"May"	371.45
"Jun"	372.18
"Jul"	372.68
"Aug"	372.95
"Sep"	373.43
"Oct"	373.37
"Nov"	373.03
"Dec"	372.96
"Jan"	373.16
"Feb"	374.31
"Mar"	373.88
"Apr"	374.22
"May"	374.97
"Jun"	374.98
"Jul"	375.13
"Aug"	375.59
"Sep"	375.65
"Oct"	375.56
"Nov"	375.73
"Dec"	375.28
"Jan"	375.05
"Feb"	375.42
"Mar"	374.71
"Apr"	NA
"May"	NA
"Jun"	NA
"Jul"	NA
"Aug"	NA
"Sep"	377.74
"Oct"	378.25
"Nov"	378.11
"Dec"	377.8
"Jan"	377.17
"Feb"	377.1
"Mar"	377.71
"Apr"	377.78
"May"	378.35
"Jun"	378.69
"Jul"	378.92
"Aug"	379.32
"Sep"	379.62
"Oct"	380.08
"Nov"	380.14
"Dec"	379.96
"Jan"	379.72
"Feb"	379.39
"Mar"	379.97
"Apr"	380.06
"May"	380.15
"Jun"	380.81
"Jul"	381.25
"Aug"	381.96
"Sep"	382.45
"Oct"	382.39
"Nov"	382.45
"Dec"	381.88
"Jan"	382.18
"Feb"	382.48
"Mar"	382.3
"Apr"	381.45
"May"	381.39
"Jun"	381.97
"Jul"	382.69
"Aug"	384.4
"Sep"	384.11
"Oct"	383.93
"Nov"	383.92
"Dec"	383.73
"Jan"	383.06
"Feb"	383.66
"Mar"	383.85
"Apr"	383.96
"May"	384.23
"Jun"	384.7
"Jul"	385.44
"Aug"	385.12
"Sep"	385.44
"Oct"	385.94
"Nov"	385.77
"Dec"	385.77
