	
Daily CO2 values at Jubany Station, Antarctica			
				
                       CO2    Std
Year	Month	Day   Value   Dev

1994	January	1		
		2		
		3		
		4		
		5		
		6		
		7		
		8		
		9		
		10		
		11		
		12		
		13		
		14		
		15		
		16		
		17		
		18		
		19		
		20		
		21		
		22		
		23		
		24		
		25		
		26		
		27		
		28		
		29		
		30		
		31		
1994   February	1		
		2		
		3		
		4		
		5		
		6		
		7		
		8		
		9		
		10		
		11		
		12		
		13		
		14		
		15		
		16	354.16	
		17	353.8	
		18	353.76	
		19	353.87	
		20	354.09	
		21	354.02	
		22	354.07	
		23	354.06	
		24	354.32	
		25	354.55	
		26	354.36	
		27		
		28		
1994	March	1	354.55	0.74
		2	355.28	0.1
		3	355.6	0.3
		4		0.29
		5	355.36	0.55
		6	355.47	0.11
		7	355.73	0.34
		8	355.47	0.19
		9	355.51	0.34
		10	355.32	0.27
		11	355.31	0.25
		12	355.73	0.38
		13	355.51	0.35
		14	355.32	0.26
		15	355.43	0.34
		16	355.45	0.29
		17	355.36	0.23
		18	355.32	0.09
		19	355.31	0.14
		20		0.18
		21	356.02	0.65
		22	355.88	0.32
		23	355.51	0.28
		24	355.97	0.49
		25	355.65	0.47
		26	355.68	0.25
		27	355.36	0.2
		28	355.34	0.13
		29	355.32	0.24
		30	355.41	0.18
		31	355.67	0.22
1994	April	1	355.61	0.21
		2	355.65	0.15
		3	355.77	0.25
		4	355.66	0.28
		5	355.51	0.22
		6	355.46	0.09
		7	355.46	0.14
		8	355.41	0.15
		9	355.58	0.17
		10	355.75	0.22
		11	355.72	0.34
		12	355.58	0.25
		13	355.48	0.31
		14	355.45	0.14
		15	355.52	0.18
		16	355.52	0.07
		17	355.71	0.26
		18	355.76	0.43
		19	355.5	0.06
		20	355.57	0.38
		21	355.48	0.29
		22	355.55	0.05
		23	355.65	0.11
		24	355.68	0.09
		25	355.65	0.37
		26	355.54	0.18
		27	355.56	0.09
		28	355.6	0.16
		29	355.72	0.13
		30	355.62	0.12
1994	May	1	355.59	0.08
		2	355.56	0.24
		3	355.53	0.14
		4	355.59	0.12
		5	355.65	0.1
		6	355.65	0.1
		7	355.70	0.1
		8	355.65	0.11
		9	355.86	0.09
		10	355.83	0.15
		11	355.83	0.2
		12	356.12	0.28
		13	355.69	0.24
		14	355.78	0.09
		15	355.83	0.08
		16	355.91	0.14
		17	356.00	0.19
		18	356.03	0.34
		19	355.82	0.2
		20	355.81	0.14
		21	355.72	0.05
		22	355.80	0.08
		23	356.53	0.44
		24	356.37	0.37
		25	355.77	0.2
		26	355.87	0.27
		27	355.75	0.31
		28	355.88	0.35
		29	356.16	0.21
		30	356.04	0.19
		31	355.88	0.15
1994	June	1	355.90	0.2
		2	355.95	0.1
		3	355.91	0.22
		4	355.95	0.11
		5	355.98	0.11
		6	355.92	0.13
		7	356.31	0.33
		8	355.88	0.16
		9	356.43	0.34
		10	355.85	0.14
		11	355.91	0.31
		12	356.18	0.14
		13	356.85	0
		14	355.94	0.18
		15	356.09	0.29
		16	356.04	0.25
		17	356.16	0.19
		18	356.82	0.17
		19	356.27	0.18
		20	356.16	0.18
		21	356.63	0.36
		22	356.57	0.13
		23	356.42	0.14
		24	356.26	0.11
		25	356.21	0.14
		26	356.37	0.05
		27	356.26	0.17
		28	356.37	0.1
		29	356.49	0.26
		30	356.45	0.16
1994	July	1	356.27	0.07
		2	356.28	0.08
		3		
		4	356.46	0.12
		5	356.21	0.3
		6	356.50	0.29
		7	356.49	0.25
		8	356.59	0.25
		9	356.51	0.18
		10	356.61	0.26
		11	356.48	0.25
		12	356.42	0.42
		13	355.92	0.13
		14	355.89	0.17
		15	356.04	0.07
		16	355.93	0.14
		17	356.04	0.09
		18	356.14	0.08
		19	356.26	0
		20	356.20	0.24
		21	356.16	0.18
		22	356.19	0.23
		23	356.16	0.1
		24	356.14	0.1
		25	356.24	0.13
		26	356.29	0.02
		27	356.40	0.05
		28	356.28	0.11
		29	356.50	0.2
		30	356.34	0.17
		31	356.67	0.29
1994	August	1	356.61	0.33
		2	357.07	0.08
		3	356.85	0.11
		4	356.91	0.15
		5	357.10	0.22
		6	357.13	0.09
		7	357.19	0.15
		8	356.75	0.25
		9	357.35	0.27
		10	357.17	0.31
		11	357.44	0.14
		12	357.08	0.14
		13	357.20	0.14
		14	357.44	0.36
		15	356.90	0.12
		16	357.02	0.28
		17	357.41	0.13
		18	357.29	0.2
		19	357.29	0.12
		20	357.11	0.12
		21	357.50	0.33
		22	357.33	0.34
		23	357.50	0.27
		24	357.38	0.21
		25	357.11	0.32
		26	357.31	0.1
		27	357.49	0.13
		28	357.42	0.15
		29	357.70	0.33
		30	357.63	0.27
		31	357.69	0.46
1994  September	1	357.35	0.18
		2	357.49	0.25
		3		0.22
		4	357.75	0.52
		5	357.47	0.25
		6	357.57	0.12
		7	357.87	0.25
		8	357.97	0.35
		9	357.48	0.12
		10	357.25	0.15
		11	357.03	0.31
		12		0.36
		13	357.63	0.5
		14	357.47	0.2
		15	357.47	0.29
		16	357.68	0.23
		17	357.55	0.24
		18	357.46	0.34
		19	357.56	0.4
		20	357.50	0.16
		21	357.53	0.13
		22	357.48	0.16
		23	357.52	0.12
		24	357.56	0.11
		25	357.41	0.06
		26	357.76	0.33
		27	357.59	0.14
		28	357.53	0.16
		29	357.54	0.3
		30	357.57	0.21
1994	October	1		
		2		
		3		
		4		
		5		
		6		
		7		
		8		
		9		
		10		
		11		
		12		
		13		
		14		
		15		
		16		
		17		
		18		
		19		
		20		
		21	358.24	0.53
		22	358.06	0.1
		23	358.11	0.12
		24	358.24	0.2
		25	358.09	0.13
		26	358.06	0.11
		27	357.98	0.23
		28	358.57	0.33
		29	358.20	0.35
		30	358.09	0.11
		31	358.01	0.5
1994   November	1	357.74	0.34
		2	357.44	0.33
		3	358.01	0.34
		4	357.77	0.23
		5	357.16	0.4
		6	357.44	0.12
		7	357.56	0.1
		8	357.76	0.27
		9	357.59	0.17
		10	357.50	0.16
		11	357.57	0.21
		12	357.43	0.26
		13	357.88	0.4
		14	357.62	0.17
		15		3.25
		16		4.23
		17	357.46	0.22
		18	357.73	0.27
		19	357.45	0.3
		20	357.37	0.24
		21	357.53	0.19
		22	357.40	0.14
		23	357.45	0.28
		24	357.49	0.24
		25	357.49	0.12
		26	357.71	0.17
		27	357.79	0.3
		28	357.77	0.58
		29	357.12	0.12
		30	357.17	0.23
1994   December	1	357.56	0.09
		2	357.37	0.23
		3	357.57	0.29
		4	357.49	0.16
		5	357.20	0.11
		6	357.09	0.21
		7	357.41	0.35
		8	357.33	0.14
		9	357.57	0.25
		10	357.49	0.13
		11	357.63	0.3
		12	357.40	0.3
		13	357.47	0.21
		14	357.59	0.44
		15	357.41	0.13
