Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Annual
1994 -99.99 -99.99 355.52 355.59 355.85 356.22 356.29 357.24 357.54 358.15 357.55 357.50 356.75
1995 357.37 356.71 357.00 357.37 357.62 358.25 358.49 358.70 359.15 359.35 359.26 358.90 358.18
1996 359.07 359.07 359.24 359.38 359.71 360.37 360.62 361.02 361.20 361.85 361.49 360.95 360.33
1997 361.43 361.10 361.16 361.21 361.42 362.07 362.07 362.11 362.00 362.07 362.20 362.87 361.81
1998 362.67 362.10 362.55 363.21 363.44 364.13 364.37 364.81 364.99 365.44 365.01 364.62 363.95
1999 364.61 364.71 364.68 365.19 365.29 365.49 365.95 366.23 366.55 366.70 366.42 366.00 365.65
2000 366.05 365.96 365.95 365.98 366.26 366.49 366.79 367.18 367.52 367.65 367.52 366.94 366.69
2001 366.58 366.82 367.12 366.90 367.51 368.25 368.56 369.05 369.34 369.60 369.61 369.30 368.22
2002 369.04 368.97 369.35 369.80 369.45 369.58 -99.99 371.73 371.86 371.97 372.04 371.38 370.47
2003 371.29 371.64 370.59 370.71 371.45 372.18 372.68 372.95 373.43 373.37 373.03 372.96 372.19
2004 373.16 374.31 373.88 374.22 374.97 374.98 375.13 375.59 375.65 375.56 375.73 375.28 374.87
2005 375.05 375.42 374.71 -99.99 -99.99 -99.99 -99.99 -99.99 377.74 378.25 378.11 377.80 376.73
2006 377.17 377.10 377.71 377.78 378.35 378.69 378.92 379.32 379.62 380.08 380.14 379.96 378.74
2007 379.72 379.39 379.97 380.06 380.15 380.81 381.25 381.96 382.45 382.39 382.45 381.88 381.04
2008 382.18 382.48 382.30 381.45 381.39 381.97 382.69 384.40 384.11 383.93 383.92 383.73 382.86
2009 383.06 383.66 383.85 383.96 384.23 384.70 385.44 385.12 385.44 385.94 385.77 385.77 384.74
